data name: kinship
model name: HRAN
learning rate: 0.001
entity dimension: 100
relation dimension: 100
batch size: 128
decay rate: 1.0
label smoothing: 0
convolution parameters: {'input_dropout': 0.2, 'hidden_dropout': 0.3, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 36, 'filt_height': 2, 'filt_width': 5}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
456	1.76	0.878	0.807	0.945	0.986	1.71	0.884	0.818	0.949	0.989
459	1.76	0.878	0.806	0.941	0.987	1.71	0.884	0.818	0.949	0.989
462	1.74	0.883	0.814	0.943	0.987	1.71	0.884	0.818	0.949	0.989
465	1.74	0.881	0.811	0.942	0.986	1.71	0.884	0.818	0.949	0.989
468	1.74	0.880	0.811	0.941	0.986	1.71	0.884	0.818	0.949	0.989
471	1.76	0.881	0.812	0.942	0.987	1.71	0.884	0.818	0.949	0.989
474	1.76	0.881	0.812	0.940	0.987	1.71	0.884	0.818	0.949	0.989
477	1.78	0.881	0.810	0.944	0.986	1.71	0.884	0.818	0.949	0.989
480	1.78	0.877	0.804	0.939	0.986	1.71	0.884	0.818	0.949	0.989
483	1.75	0.879	0.807	0.942	0.985	1.71	0.884	0.818	0.949	0.989
486	1.75	0.877	0.805	0.946	0.987	1.71	0.884	0.818	0.949	0.989
489	1.78	0.876	0.805	0.941	0.985	1.71	0.884	0.818	0.949	0.989
492	1.79	0.878	0.806	0.942	0.987	1.71	0.884	0.818	0.949	0.989
495	1.79	0.875	0.803	0.936	0.986	1.71	0.884	0.818	0.949	0.989
498	1.77	0.878	0.806	0.941	0.986	1.71	0.884	0.818	0.949	0.989
501	1.76	0.881	0.813	0.942	0.986	1.71	0.884	0.818	0.949	0.989
504	1.77	0.878	0.806	0.938	0.985	1.71	0.884	0.818	0.949	0.989
507	1.78	0.879	0.810	0.941	0.986	1.71	0.884	0.818	0.949	0.989
510	1.79	0.875	0.802	0.941	0.985	1.71	0.884	0.818	0.949	0.989
513	1.78	0.876	0.804	0.940	0.986	1.71	0.884	0.818	0.949	0.989
516	1.80	0.875	0.800	0.940	0.984	1.71	0.884	0.818	0.949	0.989
519	1.77	0.879	0.806	0.945	0.986	1.71	0.884	0.818	0.949	0.989
522	1.81	0.878	0.807	0.941	0.985	1.71	0.884	0.818	0.949	0.989
525	1.78	0.876	0.803	0.940	0.986	1.71	0.884	0.818	0.949	0.989
528	1.80	0.872	0.797	0.940	0.987	1.71	0.884	0.818	0.949	0.989
531	1.80	0.876	0.803	0.941	0.986	1.71	0.884	0.818	0.949	0.989
534	1.81	0.875	0.801	0.942	0.984	1.71	0.884	0.818	0.949	0.989
537	1.82	0.871	0.796	0.937	0.986	1.71	0.884	0.818	0.949	0.989
540	1.79	0.876	0.804	0.942	0.986	1.71	0.884	0.818	0.949	0.989
543	1.81	0.875	0.803	0.941	0.987	1.71	0.884	0.818	0.949	0.989
546	1.81	0.874	0.801	0.940	0.986	1.71	0.884	0.818	0.949	0.989
549	1.81	0.876	0.804	0.942	0.984	1.71	0.884	0.818	0.949	0.989
552	1.79	0.872	0.798	0.941	0.986	1.71	0.884	0.818	0.949	0.989
555	1.77	0.878	0.807	0.942	0.985	1.71	0.884	0.818	0.949	0.989
558	1.78	0.875	0.803	0.939	0.986	1.71	0.884	0.818	0.949	0.989
561	1.77	0.877	0.806	0.942	0.986	1.71	0.884	0.818	0.949	0.989
564	1.81	0.874	0.801	0.940	0.984	1.71	0.884	0.818	0.949	0.989
567	1.81	0.877	0.806	0.939	0.985	1.71	0.884	0.818	0.949	0.989
570	1.78	0.882	0.816	0.944	0.985	1.71	0.884	0.818	0.949	0.989
573	1.80	0.879	0.811	0.944	0.984	1.71	0.884	0.818	0.949	0.989
576	1.78	0.880	0.810	0.940	0.985	1.71	0.884	0.818	0.949	0.989
579	1.78	0.883	0.817	0.940	0.986	1.71	0.884	0.818	0.949	0.989
582	1.80	0.878	0.808	0.941	0.985	1.71	0.884	0.818	0.949	0.989
585	1.81	0.880	0.811	0.939	0.985	1.71	0.884	0.818	0.949	0.989
588	1.80	0.880	0.811	0.941	0.986	1.71	0.884	0.818	0.949	0.989
591	1.80	0.878	0.808	0.941	0.985	1.71	0.884	0.818	0.949	0.989
594	1.80	0.881	0.813	0.944	0.985	1.71	0.884	0.818	0.949	0.989
597	1.80	0.877	0.805	0.941	0.985	1.71	0.884	0.818	0.949	0.989
