data name: umls
model name: HRAN
learning rate: 0.001
entity dimension: 100
relation dimension: 100
batch size: 128
decay rate: 1.0
label smoothing: 0
convolution parameters: {'input_dropout': 0.2, 'hidden_dropout': 0.3, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 36, 'filt_height': 2, 'filt_width': 5}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
444	1.24	0.972	0.955	0.986	0.994	1.12	0.979	0.967	0.992	0.998
447	1.18	0.975	0.960	0.989	0.995	1.12	0.979	0.967	0.992	0.998
450	1.20	0.971	0.955	0.985	0.993	1.12	0.979	0.967	0.992	0.998
453	1.18	0.973	0.958	0.986	0.995	1.12	0.979	0.967	0.992	0.998
456	1.17	0.972	0.956	0.986	0.995	1.12	0.979	0.967	0.992	0.998
459	1.19	0.971	0.955	0.984	0.995	1.12	0.979	0.967	0.992	0.998
462	1.22	0.968	0.951	0.980	0.994	1.12	0.979	0.967	0.992	0.998
465	1.19	0.969	0.952	0.983	0.996	1.12	0.979	0.967	0.992	0.998
468	1.19	0.968	0.952	0.983	0.995	1.12	0.979	0.967	0.992	0.998
471	1.20	0.968	0.952	0.977	0.996	1.12	0.979	0.967	0.992	0.998
474	1.20	0.967	0.949	0.981	0.996	1.12	0.979	0.967	0.992	0.998
477	1.18	0.968	0.951	0.982	0.995	1.12	0.979	0.967	0.992	0.998
480	1.27	0.966	0.949	0.979	0.993	1.12	0.979	0.967	0.992	0.998
483	1.20	0.970	0.954	0.983	0.995	1.12	0.979	0.967	0.992	0.998
486	1.19	0.971	0.954	0.985	0.994	1.12	0.979	0.967	0.992	0.998
489	1.18	0.970	0.952	0.986	0.995	1.12	0.979	0.967	0.992	0.998
492	1.22	0.965	0.946	0.983	0.994	1.12	0.979	0.967	0.992	0.998
495	1.16	0.967	0.949	0.982	0.996	1.12	0.979	0.967	0.992	0.998
498	1.19	0.969	0.954	0.984	0.995	1.12	0.979	0.967	0.992	0.998
501	1.16	0.970	0.952	0.983	0.998	1.12	0.979	0.967	0.992	0.998
504	1.17	0.971	0.955	0.984	0.996	1.12	0.979	0.967	0.992	0.998
507	1.19	0.969	0.952	0.986	0.994	1.12	0.979	0.967	0.992	0.998
510	1.16	0.971	0.954	0.985	0.998	1.12	0.979	0.967	0.992	0.998
513	1.23	0.967	0.949	0.986	0.995	1.12	0.979	0.967	0.992	0.998
516	1.20	0.969	0.950	0.985	0.996	1.12	0.979	0.967	0.992	0.998
519	1.16	0.972	0.957	0.984	0.995	1.12	0.979	0.967	0.992	0.998
522	1.21	0.966	0.947	0.983	0.995	1.12	0.979	0.967	0.992	0.998
525	1.20	0.966	0.946	0.983	0.996	1.12	0.979	0.967	0.992	0.998
528	1.14	0.970	0.952	0.988	0.996	1.12	0.979	0.967	0.992	0.998
531	1.20	0.965	0.946	0.981	0.995	1.12	0.979	0.967	0.992	0.998
534	1.17	0.967	0.948	0.985	0.997	1.12	0.979	0.967	0.992	0.998
537	1.20	0.968	0.950	0.984	0.994	1.12	0.979	0.967	0.992	0.998
540	1.19	0.969	0.952	0.984	0.995	1.12	0.979	0.967	0.992	0.998
543	1.16	0.966	0.945	0.984	0.997	1.12	0.979	0.967	0.992	0.998
546	1.18	0.966	0.946	0.980	0.995	1.12	0.979	0.967	0.992	0.998
549	1.20	0.966	0.949	0.978	0.995	1.12	0.979	0.967	0.992	0.998
552	1.17	0.969	0.954	0.983	0.997	1.12	0.979	0.967	0.992	0.998
555	1.19	0.962	0.941	0.980	0.996	1.12	0.979	0.967	0.992	0.998
558	1.15	0.969	0.952	0.983	0.998	1.12	0.979	0.967	0.992	0.998
561	1.19	0.966	0.946	0.979	0.995	1.12	0.979	0.967	0.992	0.998
564	1.19	0.971	0.955	0.985	0.995	1.12	0.979	0.967	0.992	0.998
567	1.18	0.969	0.952	0.978	0.997	1.12	0.979	0.967	0.992	0.998
570	1.18	0.970	0.953	0.983	0.997	1.12	0.979	0.967	0.992	0.998
573	1.18	0.971	0.955	0.983	0.995	1.12	0.979	0.967	0.992	0.998
576	1.21	0.969	0.952	0.985	0.995	1.12	0.979	0.967	0.992	0.998
579	1.20	0.970	0.955	0.981	0.996	1.12	0.979	0.967	0.992	0.998
582	1.23	0.966	0.948	0.980	0.995	1.12	0.979	0.967	0.992	0.998
585	1.22	0.965	0.946	0.979	0.996	1.12	0.979	0.967	0.992	0.998
588	1.21	0.964	0.944	0.981	0.995	1.12	0.979	0.967	0.992	0.998
591	1.17	0.970	0.954	0.982	0.995	1.12	0.979	0.967	0.992	0.998
594	1.19	0.970	0.955	0.984	0.996	1.12	0.979	0.967	0.992	0.998
597	1.19	0.969	0.950	0.986	0.996	1.12	0.979	0.967	0.992	0.998
600	1.18	0.971	0.954	0.987	0.996	1.12	0.979	0.967	0.992	0.998
603	1.19	0.971	0.956	0.982	0.996	1.12	0.979	0.967	0.992	0.998
606	1.18	0.969	0.950	0.986	0.997	1.12	0.979	0.967	0.992	0.998
609	1.18	0.969	0.952	0.984	0.997	1.12	0.979	0.967	0.992	0.998
612	1.20	0.967	0.949	0.983	0.996	1.12	0.979	0.967	0.992	0.998
615	1.17	0.967	0.946	0.985	0.997	1.12	0.979	0.967	0.992	0.998
618	1.18	0.969	0.951	0.983	0.996	1.12	0.979	0.967	0.992	0.998
621	1.20	0.965	0.944	0.981	0.996	1.12	0.979	0.967	0.992	0.998
624	1.19	0.968	0.949	0.983	0.996	1.12	0.979	0.967	0.992	0.998
627	1.21	0.965	0.945	0.983	0.997	1.12	0.979	0.967	0.992	0.998
630	1.21	0.966	0.948	0.983	0.995	1.12	0.979	0.967	0.992	0.998
633	1.20	0.964	0.943	0.983	0.995	1.12	0.979	0.967	0.992	0.998
636	1.19	0.967	0.949	0.983	0.997	1.12	0.979	0.967	0.992	0.998
639	1.21	0.967	0.949	0.984	0.994	1.12	0.979	0.967	0.992	0.998
642	1.23	0.964	0.943	0.980	0.993	1.12	0.979	0.967	0.992	0.998
645	1.19	0.967	0.948	0.984	0.995	1.12	0.979	0.967	0.992	0.998
648	1.20	0.970	0.954	0.986	0.995	1.12	0.979	0.967	0.992	0.998
651	1.22	0.969	0.952	0.982	0.993	1.12	0.979	0.967	0.992	0.998
654	1.24	0.966	0.946	0.984	0.993	1.12	0.979	0.967	0.992	0.998
657	1.23	0.965	0.943	0.982	0.995	1.12	0.979	0.967	0.992	0.998
660	1.19	0.967	0.948	0.984	0.996	1.12	0.979	0.967	0.992	0.998
663	1.18	0.969	0.950	0.986	0.995	1.12	0.979	0.967	0.992	0.998
666	1.18	0.970	0.952	0.986	0.996	1.12	0.979	0.967	0.992	0.998
669	1.20	0.966	0.947	0.982	0.995	1.12	0.979	0.967	0.992	0.998
672	1.21	0.967	0.949	0.982	0.995	1.12	0.979	0.967	0.992	0.998
675	1.21	0.967	0.947	0.984	0.996	1.12	0.979	0.967	0.992	0.998
678	1.22	0.970	0.953	0.983	0.993	1.12	0.979	0.967	0.992	0.998
681	1.21	0.967	0.950	0.980	0.995	1.12	0.979	0.967	0.992	0.998
684	1.19	0.965	0.946	0.981	0.997	1.12	0.979	0.967	0.992	0.998
687	1.17	0.970	0.952	0.985	0.995	1.12	0.979	0.967	0.992	0.998
690	1.21	0.968	0.949	0.984	0.995	1.12	0.979	0.967	0.992	0.998
693	1.23	0.965	0.946	0.980	0.992	1.12	0.979	0.967	0.992	0.998
696	1.20	0.965	0.944	0.983	0.996	1.12	0.979	0.967	0.992	0.998
699	1.21	0.966	0.948	0.983	0.997	1.12	0.979	0.967	0.992	0.998
702	1.25	0.962	0.940	0.981	0.995	1.12	0.979	0.967	0.992	0.998
